GSS Code,Ward,Gareth Andrew BACON,Frank Thomas GOULD,Julie IRELAND,Veronica Olabisi OBADARA,Roisin Therese Siobhan ROBERTSON,Sam RUSSELL,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000064,BARNEHURST,1329,577,110,9,142,562,0,0,23,0,5
E05000065,BELVEDERE,796,506,96,52,146,1047,0,0,25,2,5
,BEXLEY POSTAL BATCHES,8091,3264,748,214,687,4853,0,2,42,10,15
E05000066,BLACKFEN & LAMORBEY,1295,775,155,10,148,590,0,0,33,2,3
E05000067,BLENDON & PENHILL,1612,642,113,5,113,523,0,0,39,0,3
E05000068,BRAMPTON,1610,669,147,9,141,694,0,0,30,2,9
E05000069,CHRISTCHURCH,1292,528,146,6,193,661,0,0,24,0,4
E05000070,COLYERS,823,544,79,24,102,603,0,0,30,0,3
E05000072,CRAY MEADOWS,1208,526,116,14,166,629,0,0,30,0,4
E05000071,CRAYFORD,969,606,99,25,143,679,0,0,24,0,5
E05000073,DANSON PARK,1274,570,125,25,151,619,0,0,38,0,4
E05000074,EAST WICKHAM,1050,666,141,17,116,676,0,0,29,1,2
E05000075,ERITH,647,456,83,48,106,905,0,0,16,1,7
E05000076,FALCONWOOD & WELLING,1274,721,138,22,137,673,0,0,28,2,5
E05000077,LESNES ABBEY,881,531,99,30,106,859,0,0,34,1,1
E05000078,LONGLANDS,1566,487,179,13,180,646,0,0,12,1,3
E05000079,NORTH END AD,491,425,72,62,95,822,0,0,14,1,4
E05000080,NORTHUMBERLAND HEATH,1115,566,91,13,126,740,0,0,26,3,6
E05000083,SIDCUP,1694,521,189,16,242,646,0,0,30,1,4
E05000081,ST MARY'S,1784,531,144,11,223,542,0,0,37,1,5
E05000082,ST MICHAEL'S,1198,629,126,23,100,723,0,0,17,4,6
E05000084,THAMESMEAD EAST,354,318,68,87,88,1034,0,0,12,0,1
E05000106,Bickley,2562,425,341,14,351,784,0,0,50,1,3
E05000107,Biggin Hill,1523,712,181,6,140,311,0,0,22,2,4
E05000108,Bromley Common & Keston,2001,632,280,17,308,878,0,0,34,0,0
E05000109,Bromley Town,1837,481,429,23,534,1400,0,0,32,2,4
E05000110,Chelsfield & Pratts Bottom,2509,779,386,13,346,683,0,0,31,0,3
E05000111,Chislehurst,2465,509,297,12,340,716,0,0,42,2,1
E05000112,Clock House,1421,395,438,16,599,2055,0,0,38,0,8
E05000113,Copers Cope,2123,391,419,26,463,1245,0,0,50,1,5
E05000114,Cray Valley East,1124,661,236,24,207,752,0,0,28,1,2
E05000115,Cray Valley West,1144,782,187,30,187,752,0,0,12,0,5
E05000116,Crystal Palace,505,179,315,23,564,1666,0,0,31,1,5
E05000117,Darwin,842,406,80,0,96,163,0,0,13,0,3
E05000118,Farnborough & Crofton,2732,715,361,14,267,700,0,0,40,0,9
E05000119,Hayes & Coney Hall,2619,793,365,12,369,879,0,0,23,2,5
E05000120,Kelsey and Eden Park,2250,512,392,21,386,1150,0,0,31,1,5
E05000121,Mottingham & Chislehurst North,829,477,120,16,171,645,0,0,25,1,4
E05000122,Orpington,2197,783,375,22,274,807,0,0,50,1,7
E05000123,Penge and Cator,1030,373,397,33,646,2294,0,0,40,3,5
E05000124,Petts Wood & Knoll,2877,599,395,12,358,695,0,0,48,0,5
E05000125,Plaistow & Sundridge,1715,545,378,29,376,1163,0,0,39,2,4
,Postals Bromley,14294,3408,1875,120,1525,4794,0,4,71,7,15
E05000126,Shortlands,1825,282,270,14,220,614,0,0,35,1,1
E05000127,West Wickham,2683,588,364,11,307,919,0,0,37,1,4
