GSS Code,Ward,Amna AHMAD,Marina AHMAD,Richard  EDMONDS,Tracey Jo HAGUE,Madonna Beatrice LEWIS,Stephen John O'CONNELL,Peter STAVELEY,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000146,Addiscombe,196,1715,20,418,31,1167,282,0,0,33,4,8
E05000147,Ashburton,152,1402,23,290,31,1584,417,0,0,33,3,5
E05000148,Bensham Manor,115,2246,20,251,45,702,163,0,0,33,3,11
E05000149,Broad Green,104,2380,48,218,55,763,231,0,0,45,1,11
E05000150,Coulsdon East,263,579,15,261,16,1893,394,0,0,18,0,5
E05000151,Coulsdon West,205,740,10,234,22,1929,321,0,0,28,2,2
E05000152,Croham,309,1288,18,390,26,1821,251,0,0,24,1,5
,Croydon Postal Votes,1219,10172,166,2020,295,13618,2540,0,5,68,6,30
E05000153,Fairfield,228,1383,19,344,29,1558,185,0,0,31,5,7
E05000154,Fieldway,34,813,28,68,11,359,303,0,0,10,0,8
E05000155,Heathfield,134,915,14,221,21,1835,404,0,0,35,2,6
E05000156,Kenley,216,755,14,287,20,2122,320,0,0,14,2,0
E05000157,New Addington,37,673,36,64,14,488,363,0,0,15,0,5
E05000158,Norbury,183,2145,23,354,34,1076,212,0,0,51,1,11
E05000159,Purley,211,891,12,285,21,2070,267,0,0,30,2,4
E05000160,Sanderstead,192,695,12,260,9,2458,357,0,0,21,1,7
E05000161,Selhurst,146,2062,23,242,51,622,207,0,0,35,2,8
E05000162,Selsdon and Ballards,183,630,18,254,12,2277,383,0,0,17,3,2
E05000163,Shirley,135,1160,22,242,22,2099,370,0,0,41,4,6
E05000164,South Norwood,252,2248,17,512,36,788,211,0,0,37,2,7
E05000165,Thornton Heath,125,2196,29,313,44,637,173,0,0,46,1,15
E05000166,Upper Norwood,202,2138,24,506,34,932,201,0,0,35,1,9
E05000167,Waddon,157,1469,18,278,27,1109,291,0,0,32,0,4
E05000168,West Thornton,120,2407,32,198,42,761,147,0,0,60,1,22
E05000169,Woodside,138,2031,17,328,31,754,236,0,0,22,3,8
E05000555,Beddington North,474,660,21,207,18,742,367,0,0,12,0,6
E05000556,Beddington South,535,491,13,129,12,928,385,0,0,21,0,3
E05000557,Belmont BF,367,532,5,199,17,1431,257,0,0,28,0,9
E05000558,Carshalton Central,769,585,11,294,12,1043,353,0,0,25,1,2
E05000559,Carshalton South and Clockhouse,725,471,17,223,8,1219,324,0,0,26,1,1
E05000560,Cheam,475,448,13,184,14,1535,308,0,0,38,1,3
E05000561,Nonsuch,594,518,17,203,12,1321,480,0,0,24,1,1
E05000562,St Helier,335,616,19,118,28,390,456,0,0,20,0,5
E05000563,Stonecot,432,654,26,171,12,1109,480,0,0,23,3,4
E05000564,Sutton Central,539,776,18,255,19,662,323,0,0,25,1,4
E05000565,Sutton North,510,563,17,173,12,894,407,0,0,19,0,4
,Sutton Postal Votes,3677,3167,131,1026,131,7330,2436,0,2,44,1,16
E05000566,Sutton South,513,527,11,192,20,886,223,0,0,24,0,4
E05000567,Sutton West,602,618,21,195,7,1052,273,0,0,26,1,5
E05000568,The Wrythe,530,484,19,192,15,653,426,0,0,22,1,5
E05000569,Wallington North,746,589,15,235,15,862,411,0,0,34,1,3
E05000570,Wallington South,736,479,14,243,13,927,355,0,0,29,0,5
E05000571,Wandle Valley,470,644,16,181,25,455,419,0,0,14,2,3
E05000572,Worcester Park,574,587,24,255,17,1295,426,0,0,34,1,5
