GSS Code,Ward,Ajaratu Josephine BANGURA,Len DUVALL,Julia FLETCHER,Paul James OAKLEY,Imogen Susan Frances SOLLY,Adam Michael THOMAS,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000214,Abbey Wood,32,1731,116,466,170,428,0,0,30,1,9
E05000215,Blackheath Westcombe,15,1799,402,223,603,1226,0,0,19,2,5
E05000216,Charlton,18,2037,248,327,492,625,0,0,18,4,5
E05000217,Coldharbour and New Eltham,12,1025,154,587,197,1240,0,0,14,1,6
E05000218,Eltham North,12,1560,239,653,360,1525,0,0,13,3,2
E05000219,Eltham South,10,1025,182,548,218,1198,0,0,17,4,2
E05000220,Eltham West,13,1236,112,460,177,504,0,0,9,1,4
E05000221,Glyndon,38,2242,186,347,306,419,0,0,32,1,9
,Greenwich Postal Votes,131,8288,1145,1746,1393,4782,0,2,50,3,16
E05000222,Greenwich West,19,2465,495,225,751,1160,0,0,25,3,9
E05000223,Kidbrooke with Hornfair,18,1522,129,417,245,619,0,0,21,1,5
E05000224,Middle Park and Sutcliffe,14,1488,207,441,247,791,0,0,13,0,5
E05000225,Peninsula,27,2033,362,313,721,946,0,0,21,4,4
E05000226,Plumstead,37,1985,135,418,238,478,0,0,21,2,11
E05000227,Shooters Hill,28,1923,181,449,398,715,0,0,26,1,5
E05000228,Thamesmead Moorings,36,1835,103,324,145,400,0,0,37,1,7
E05000229,Woolwich Common,53,2048,126,213,267,366,0,0,18,1,8
E05000230,Woolwich Riverside,39,2272,181,303,330,549,0,0,26,1,8
E05000437,Bellingham,36,1658,133,308,246,405,0,0,53,2,7
E05000438,Blackheath,16,1805,443,183,583,873,0,0,33,0,5
E05000439,Brockley,33,2642,286,122,1300,441,0,0,38,2,5
E05000440,Catford South,32,2389,230,217,459,564,0,0,37,4,13
E05000441,Crofton Park,24,2506,346,162,1017,509,0,0,48,1,8
E05000442,Downham,26,1302,344,421,151,380,0,0,26,4,7
E05000443,Evelyn,55,2253,215,205,425,393,0,0,37,5,9
E05000444,Forest Hill,20,2172,494,170,727,639,0,0,35,1,3
E05000445,Grove Park,16,1552,208,418,316,725,0,0,34,0,3
E05000446,Ladywell,27,2457,269,143,1078,412,0,0,34,1,7
E05000447,Lee Green,35,2181,490,223,621,799,0,0,30,2,11
E05000448,Lewisham Central,37,2541,279,180,717,564,0,0,50,8,8
E05000449,New Cross,44,2376,188,129,716,292,0,0,40,1,5
E05000450,Perry Vale,25,2460,373,217,717,663,0,0,32,4,5
,Postal Ward,171,8085,1408,1264,1897,3453,0,2,52,7,15
E05000451,Rushey Green,36,2047,173,148,443,348,0,0,50,0,12
E05000452,Sydenham,23,2275,290,254,657,702,0,0,42,3,7
E05000453,Telegraph Hill,44,2844,216,131,1004,313,0,0,30,3,10
E05000454,Whitefoot,23,1676,215,331,188,394,0,0,66,2,13
