Ward,Ivana BARTOLETTI,Lee BURKWOOD,Keith Anthony PRINCE,Ian Victor SANDERSON,Lawrence James WEBB,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
Brooklands,1093,199,1177,108,670,0,0,31,0,8
Cranham,611,251,1993,182,922,0,0,26,1,8
Elm Park,863,204,1071,90,1025,0,0,51,1,3
Emerson Park,580,180,1833,144,685,0,0,33,0,1
Gooshays,847,139,639,75,974,0,0,21,0,2
Hacton,691,170,1547,147,1086,0,0,33,0,4
Harold Wood,739,199,1346,210,873,0,0,26,1,6
Havering Park,515,116,1199,87,776,0,0,35,0,1
Heaton,886,123,739,87,993,0,0,38,0,7
Hylands,789,192,1537,121,927,0,0,24,0,2
Mawneys,625,170,1357,95,775,0,0,21,0,4
Pettits,570,169,2008,151,791,0,0,27,0,5
Postal Votes - Havering,4221,982,9024,778,4917,0,7,69,1,10
Rainham & Wennington,786,129,754,99,947,0,0,14,0,5
Romford Town,963,274,1469,193,686,0,0,39,1,4
Saint Andrews,746,222,1552,130,1041,0,0,26,1,7
South Hornchurch,878,124,724,67,971,0,0,28,0,1
Squirrels Heath,621,188,1787,113,672,0,0,21,2,7
Upminster,650,284,2266,176,868,0,0,27,1,3
ALDBOROUGH,1916,213,1262,105,232,0,0,44,1,13
BARKINGSIDE,1730,169,1649,76,145,0,0,44,0,5
BRIDGE,956,238,1213,166,409,0,0,24,0,6
CHADWELL,1927,182,865,115,333,0,0,46,0,11
CHURCH END,1124,324,1256,445,241,0,0,38,1,4
CLAYHALL,2006,145,1626,111,141,0,0,30,2,4
CLEMENTSWOOD,2342,147,529,83,106,0,0,53,0,17
CRANBROOK,1993,189,1138,88,114,0,0,31,1,12
FAIRLOP,1115,152,1351,117,345,0,0,35,0,6
FULLWELL,1462,174,1345,117,293,0,0,36,0,9
GOODMAYES,2143,158,687,104,153,0,0,45,3,13
HAINAULT,1006,161,880,79,490,0,0,21,0,2
LOXFORD,2602,150,475,63,87,0,0,37,0,13
MAYFIELD,2234,159,890,68,200,0,0,32,1,10
MONKHAMS,709,233,1918,244,238,0,0,34,1,6
NEWBURY,2781,210,1081,126,144,0,1,47,0,16
Redbridge - Postal Votes,7834,907,6944,743,1483,0,5,63,1,11
RODING,1608,209,1134,504,281,0,0,45,1,5
SEVEN KINGS,2367,204,800,104,170,0,0,50,0,8
SNARESBROOK,1403,395,1406,241,196,0,0,39,1,4
VALENTINES,2278,201,677,103,101,0,0,32,0,11
WANSTEAD,1835,382,1335,250,287,0,0,35,1,7
