GSS Code,Ward,Leonie Alison COOPER,David DEAN,Adrian James HYYRYLAINEN-TRETT,Elizabeth Eirwen JONES,Thamilini KULENDRAN,Esther OBIRI-DARKO,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000455,Abbey,1365,1001,222,120,16,308,0,0,33,2,6
E05000456,Cannon Hill,1223,1176,156,301,36,212,0,0,33,4,8
E05000457,Colliers Wood,1950,650,166,134,40,371,0,0,43,0,3
E05000458,Cricket Green,1875,532,82,241,37,151,0,0,50,0,6
E05000459,Dundonald,909,1313,361,101,11,288,0,0,20,3,2
E05000460,Figge's Marsh,2390,453,86,194,45,126,0,0,52,1,9
E05000461,Graveney,2146,469,102,122,72,194,0,0,33,3,11
E05000462,Hillside,635,1340,223,92,16,222,0,0,26,1,6
E05000463,Lavender Fields,1575,432,106,178,39,189,0,0,20,2,4
E05000464,Longthornton,1742,591,87,173,31,157,0,0,30,3,8
E05000465,Lower Morden,1074,1013,89,372,25,129,0,0,24,2,0
E05000466,Merton Park,1230,1213,253,148,67,280,0,0,37,4,10
E05000467,Pollards Hill,1840,449,58,246,18,106,0,0,34,0,4
,Postal Votes,5241,6171,873,880,135,758,0,0,29,7,8
E05000468,Ravensbury,1454,582,93,323,50,162,0,0,39,1,7
E05000469,Raynes Park,873,1435,299,146,11,269,0,0,31,5,4
E05000470,St. Helier,1492,676,115,322,28,141,0,0,48,4,8
E05000471,Trinity,1168,1226,275,105,9,259,0,0,30,1,1
E05000472,Village,364,1802,155,80,10,154,0,0,15,2,3
E05000473,West Barnes,1049,1186,425,203,32,212,0,0,22,6,8
E05000474,Wimbledon Park,1145,1622,289,113,15,311,0,0,22,9,1
E05000610,Balham,1562,1898,274,103,5,363,0,1,42,3,7
E05000611,Bedford,2220,1478,246,129,10,442,0,0,56,1,8
E05000612,Earlsfield,1978,1829,224,156,15,415,0,0,30,1,8
E05000613,East Putney,1261,1995,374,133,11,413,0,0,34,2,3
E05000614,Fairfield BJ,1318,1897,277,113,9,379,0,0,33,2,9
E05000615,Furzedown,3285,955,165,132,25,400,0,0,64,2,10
E05000461,Graveney BJ,2841,986,213,140,43,470,0,0,55,3,8
E05000617,Latchmere,1817,1000,121,171,8,314,0,0,46,4,5
E05000618,Nightingale,1922,1945,310,108,11,457,0,0,58,3,3
E05000619,Northcote,1191,1993,275,94,4,391,0,0,31,2,3
E05000620,Queenstown,1571,1320,190,123,5,329,0,0,46,4,2
E05000621,Roehampton and Putney Heath,1320,865,112,190,5,235,0,0,51,1,6
E05000623,Shaftesbury,1320,1686,254,128,9,337,0,0,34,2,7
E05000624,Southfields,1752,2132,345,171,22,440,0,0,39,1,6
E05000622,St Mary`s Park,1478,1773,209,145,5,412,0,0,36,4,5
E05000625,Thamesfield,1113,2471,402,125,20,631,0,0,54,2,5
E05000626,Tooting,3002,1075,193,128,31,430,0,1,90,3,11
E05000627,Wandsworth Common,1292,2108,213,121,16,378,0,0,33,1,4
,Wandsworth Postal Batches,9631,14996,1310,1114,117,1758,0,0,84,14,21
E05000628,West Hill,1512,1592,234,182,18,359,0,0,46,2,10
E05000629,West Putney,1214,1713,276,178,10,330,0,0,27,1,4
