Ward,Tony ARBOUR,Adam John Lewis BUICK,Alexander Alan CRAIG,Andree Michelle FRIEZE,Rosina Jane ROBSON,Martin James WHELTON,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
BEDFONT,622,13,443,150,122,1009,0,0,18,2,10
BRENTFORD,877,25,277,445,246,1689,0,0,28,2,4
CHISWICK HOMEFIELDS,1505,12,152,341,317,883,0,0,33,1,3
CHISWICK RIVERSIDE,1631,13,132,455,300,945,0,0,20,7,6
CRANFORD,534,18,150,112,92,1556,0,0,16,3,16
FELTHAM NORTH,637,12,359,111,89,972,0,1,31,1,9
FELTHAM WEST,705,24,469,166,119,1137,0,0,23,1,2
HANWORTH,558,14,381,123,139,948,0,0,25,1,8
HANWORTH PARK,838,14,444,184,169,1023,0,0,19,1,8
HESTON CENTRAL,735,18,158,142,90,1509,0,0,45,1,12
HESTON EAST,755,29,143,158,115,1655,0,0,32,4,9
HESTON WEST,601,23,191,141,95,1933,0,0,31,4,14
HOUNSLOW CENTRAL,905,29,200,215,133,1961,0,0,35,0,7
HOUNSLOW HEATH,812,23,146,209,156,1917,0,0,68,0,12
Hounslow Postal Voters,6716,97,1513,1259,1091,7950,0,1,43,8,9
HOUNSLOW SOUTH,1111,22,294,286,187,1524,0,0,31,2,4
HOUNSLOW WEST,745,30,157,165,94,1843,0,0,42,2,16
ISLEWORTH,825,24,316,240,185,1373,0,0,22,5,6
OSTERLEY & SPRING GROVE,1351,24,189,304,201,1415,0,0,44,1,5
SYON,860,26,308,407,235,1418,0,0,33,2,8
TURNHAM GREEN,1308,14,149,393,320,917,0,0,50,3,1
Alexandra,1040,14,232,153,600,564,0,0,20,3,3
Berrylands,961,11,174,273,744,574,0,0,30,3,3
Beverley,1085,12,177,305,602,791,0,0,33,2,2
Canbury,1305,21,157,603,601,938,0,0,28,5,6
Chessington North and Hook,704,15,263,125,446,393,0,0,11,0,2
Chessington South,905,14,378,137,476,468,0,0,30,3,4
Coombe Hill,1214,11,106,179,210,530,0,0,30,2,3
Coombe Vale,1294,14,134,305,441,711,0,0,26,1,2
Grove,720,20,132,317,694,660,0,0,18,3,1
Kingston Postal Voters,7683,61,1299,1225,3062,3202,0,1,50,9,7
Norbiton,501,15,133,248,519,853,0,0,23,2,3
Old Malden,1149,7,254,158,483,596,0,0,19,2,4
St James,988,6,223,166,409,635,0,0,30,1,8
St Marks,829,17,122,340,692,666,0,1,15,1,5
Surbiton Hill,974,16,150,302,740,644,0,0,24,4,0
Tolworth and Hook Rise,756,25,255,148,597,645,0,0,12,0,6
Tudor,1413,14,172,465,460,547,0,0,29,1,3
Barnes,1847,10,101,318,438,436,0,0,42,3,2
East Sheen,2131,5,117,392,588,516,0,0,38,4,3
Fulwell & Hampton Hill,1254,13,156,426,719,677,0,0,29,6,3
"Ham, Petersham & Richmond Riverside",1305,12,212,507,580,554,0,0,28,0,9
Hampton,1338,14,198,323,677,546,0,0,24,2,4
Hampton North,1082,8,256,237,413,478,0,1,15,2,7
Hampton Wick,1501,15,126,371,583,599,0,0,37,2,3
Heathfield BD,998,11,311,177,400,705,0,0,34,1,2
Kew,1851,19,129,491,710,587,0,0,43,5,6
Mortlake & Barnes Common,1775,11,144,389,494,633,0,0,46,3,3
North Richmond,1619,7,166,364,607,602,0,0,30,6,3
RuT Postal ,10268,46,1002,1538,3545,2904,0,0,48,3,4
South Richmond,1736,26,125,385,492,513,0,0,58,3,3
South Twickenham,1438,6,131,431,643,669,0,0,32,3,0
St. Margaret`s & North Twickenham,1349,10,130,468,804,822,0,1,20,0,4
Teddington,1380,10,136,397,835,640,0,0,29,3,1
Twickenham Riverside,1226,22,107,497,657,653,0,0,27,4,2
West Twickenham,1038,10,220,322,663,688,0,0,41,3,6
Whitton,1093,13,284,257,535,721,0,0,16,0,4
