GSS Code,Constituency,Ward,Sian Rebecca BERRY,David FURNESS,George GALLOWAY,Paul GOLDING,Zac GOLDSMITH,Lee HARRIS,Sadiq Aman KHAN,Ankit LOVE,Caroline Valerie PIDGEON,Sophie WALKER,Peter Robin WHITTLE,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000064,Bexley & Bromley,BARNEHURST,87,22,19,64,1510,12,588,1,100,35,266,0,0,10,10,31
E05000065,Bexley & Bromley,BELVEDERE,125,29,35,68,975,15,957,8,93,36,271,0,0,5,10,40
,Bexley & Bromley,BEXLEY POSTAL BATCHES,487,170,149,634,8950,90,4585,30,669,216,1775,1,0,23,24,72
E05000066,Bexley & Bromley,BLACKFEN & LAMORBEY,106,26,19,59,1586,18,613,4,142,24,338,0,0,9,16,48
E05000067,Bexley & Bromley,BLENDON & PENHILL,85,28,17,53,1802,10,546,1,113,20,305,0,0,10,16,43
E05000068,Bexley & Bromley,BRAMPTON,115,36,28,49,1779,9,707,7,137,25,352,0,0,10,16,37
E05000069,Bexley & Bromley,CHRISTCHURCH,143,26,23,46,1443,13,702,3,113,36,256,0,0,7,6,29
E05000070,Bexley & Bromley,COLYERS,62,19,9,72,999,19,581,5,78,22,295,0,0,5,5,27
E05000072,Bexley & Bromley,CRAY MEADOWS,96,24,20,69,1367,14,661,3,100,38,249,0,0,7,6,35
E05000071,Bexley & Bromley,CRAYFORD,121,29,23,73,1099,18,687,3,82,40,315,0,0,8,9,38
E05000073,Bexley & Bromley,DANSON PARK,128,23,23,59,1459,19,634,5,90,32,272,0,0,9,12,36
E05000074,Bexley & Bromley,EAST WICKHAM,83,36,19,77,1220,14,680,1,122,41,343,0,0,10,14,34
E05000075,Bexley & Bromley,ERITH,78,30,19,78,783,16,861,5,75,28,238,0,0,9,9,31
E05000076,Bexley & Bromley,FALCONWOOD & WELLING,104,48,32,76,1513,14,649,3,138,38,319,0,0,4,6,51
E05000077,Bexley & Bromley,LESNES ABBEY,72,31,33,74,1078,16,813,2,72,30,257,0,0,11,10,37
E05000078,Bexley & Bromley,LONGLANDS,120,8,21,35,1702,21,720,1,144,44,205,0,0,5,5,54
E05000079,Bexley & Bromley,NORTH END AD,70,28,10,78,653,26,763,4,63,16,220,0,0,8,10,36
E05000080,Bexley & Bromley,NORTHUMBERLAND HEATH,97,31,26,78,1252,18,697,4,106,33,276,0,0,7,11,46
E05000083,Bexley & Bromley,SIDCUP,176,6,22,39,1886,14,697,4,143,46,246,0,0,15,8,39
E05000081,Bexley & Bromley,ST MARY'S,153,10,13,42,1959,19,596,3,125,46,261,0,0,15,11,24
E05000082,Bexley & Bromley,ST MICHAEL'S,80,35,12,74,1402,12,701,5,119,23,302,0,0,7,7,46
E05000084,Bexley & Bromley,THAMESMEAD EAST,76,20,18,57,506,15,945,6,58,39,180,0,0,3,5,28
E05000106,Bexley & Bromley,Bickley,199,6,33,31,2714,31,921,8,240,79,186,0,0,10,9,57
E05000107,Bexley & Bromley,Biggin Hill,83,11,11,55,1835,15,365,4,115,32,322,0,0,9,10,34
E05000108,Bexley & Bromley,Bromley Common & Keston,204,13,21,67,2220,26,966,3,204,59,290,0,0,9,9,56
E05000109,Bexley & Bromley,Bromley Town,337,13,55,43,1959,39,1580,4,297,132,212,0,0,9,12,39
E05000110,Bexley & Bromley,Chelsfield & Pratts Bottom,231,17,21,49,2747,19,912,5,220,75,378,0,0,12,13,49
E05000111,Bexley & Bromley,Chislehurst,189,9,22,31,2646,23,889,1,200,75,223,0,0,11,13,40
E05000112,Bexley & Bromley,Clock House,438,25,41,51,1598,49,2107,4,285,128,176,0,1,10,13,37
E05000113,Bexley & Bromley,Copers Cope,271,12,40,40,2264,19,1434,7,281,95,172,0,0,14,20,37
E05000114,Bexley & Bromley,Cray Valley East,138,25,28,80,1317,22,814,3,163,43,334,0,0,10,7,43
E05000115,Bexley & Bromley,Cray Valley West,132,30,37,80,1358,21,775,4,133,50,413,0,0,5,5,51
E05000116,Bexley & Bromley,Crystal Palace,358,14,29,46,609,26,1754,2,175,119,90,0,0,13,12,22
E05000117,Bexley & Bromley,Darwin,63,11,8,22,1031,8,203,1,60,19,150,0,0,3,6,17
E05000118,Bexley & Bromley,Farnborough & Crofton,168,23,32,42,3048,23,862,2,221,60,286,0,0,9,5,45
E05000119,Bexley & Bromley,Hayes & Coney Hall,243,14,25,58,2934,30,1026,7,244,66,341,0,0,10,13,54
E05000120,Bexley & Bromley,Kelsey and Eden Park,232,12,39,54,2414,33,1234,3,315,90,239,0,0,8,6,61
E05000121,Bexley & Bromley,Mottingham & Chislehurst North,114,26,35,61,934,23,662,1,90,41,233,0,1,5,5,52
E05000122,Bexley & Bromley,Orpington,169,21,30,65,2505,21,910,4,252,68,372,0,0,12,21,55
E05000123,Bexley & Bromley,Penge and Cator,444,25,51,69,1171,32,2325,5,272,138,181,0,0,13,7,67
E05000124,Bexley & Bromley,Petts Wood & Knoll,214,11,24,41,3178,18,879,3,259,44,245,0,0,9,11,48
E05000125,Bexley & Bromley,Plaistow & Sundridge,248,19,30,60,1888,36,1264,6,272,90,249,0,0,16,11,47
,Bexley & Bromley,Postals Bromley,1011,142,207,498,15295,124,5112,31,1326,391,1776,0,2,55,32,75
E05000126,Bexley & Bromley,Shortlands,151,8,19,28,1935,10,734,5,166,57,100,0,0,9,7,30
E05000127,Bexley & Bromley,West Wickham,207,8,26,50,2910,20,1023,5,252,74,255,0,0,5,10,61
