GSS Code,Constituency,Ward,Sian Rebecca BERRY,David FURNESS,George GALLOWAY,Paul GOLDING,Zac GOLDSMITH,Lee HARRIS,Sadiq Aman KHAN,Ankit LOVE,Caroline Valerie PIDGEON,Sophie WALKER,Peter Robin WHITTLE,Prince ZYLINSKI,Unmarked,Uncertain,Voting for too many
E05000064,Bexley & Bromley,BARNEHURST,405,89,59,170,315,48,203,19,319,139,561,18,358,3,1
E05000065,Bexley & Bromley,BELVEDERE,336,84,82,187,302,79,340,24,254,146,388,26,352,20,0
,Bexley & Bromley,BEXLEY POSTAL BATCHES,2025,539,468,1583,2437,220,1972,170,2252,970,3607,162,1374,20,6
E05000066,Bexley & Bromley,BLACKFEN & LAMORBEY,394,94,57,144,314,44,212,24,361,139,732,31,382,7,2
E05000067,Bexley & Bromley,BLENDON & PENHILL,374,105,52,188,327,53,215,24,313,126,766,20,418,0,0
E05000068,Bexley & Bromley,BRAMPTON,441,82,85,201,380,53,243,33,416,159,744,10,393,8,0
E05000069,Bexley & Bromley,CHRISTCHURCH,390,86,55,163,338,55,242,37,335,171,558,21,355,5,1
E05000070,Bexley & Bromley,COLYERS,289,95,46,158,215,39,208,14,223,100,451,15,307,11,0
E05000072,Bexley & Bromley,CRAY MEADOWS,415,81,49,166,261,56,229,26,302,143,538,13,364,2,0
E05000071,Bexley & Bromley,CRAYFORD,370,100,68,159,260,53,243,18,253,141,491,16,321,1,0
E05000073,Bexley & Bromley,DANSON PARK,393,96,61,168,308,52,240,24,293,137,562,19,395,1,0
E05000074,Bexley & Bromley,EAST WICKHAM,303,101,73,169,308,53,259,16,333,121,547,14,337,5,1
E05000075,Bexley & Bromley,ERITH,280,103,71,107,242,51,298,24,196,99,350,17,377,4,1
E05000076,Bexley & Bromley,FALCONWOOD & WELLING,379,117,77,161,310,56,251,39,274,124,648,19,480,3,1
E05000077,Bexley & Bromley,LESNES ABBEY,327,94,64,139,269,48,295,23,242,115,446,16,400,6,0
E05000078,Bexley & Bromley,LONGLANDS,465,75,62,144,300,45,236,28,446,189,617,26,388,2,0
E05000079,Bexley & Bromley,NORTH END AD,208,75,62,114,200,46,284,23,148,95,247,13,402,15,0
E05000080,Bexley & Bromley,NORTHUMBERLAND HEATH,334,95,62,152,309,49,270,22,262,145,549,21,350,2,0
