Constituency,Ward,Animal Welfare Party,Britain First - Putting British people first,British National Party,Caroline Pidgeon's London Liberal Democrats,Christian Peoples Alliance,Conservative Party,"Green Party - ""vote Green on orange""",Labour Party,Respect (George Galloway),The House Party - Homes for Londoners,UK Independence Party (UKIP),Women's Equality Party,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
Bexley & Bromley,BARNEHURST,24,79,31,117,16,1236,128,525,16,12,499,49,0,0,19,2,5
Bexley & Bromley,BELVEDERE,32,100,29,100,44,737,117,964,30,16,426,48,0,0,17,0,15
Bexley & Bromley,BEXLEY POSTAL BATCHES,173,750,197,743,230,7451,542,4505,149,59,2773,279,1,2,51,6,33
Bexley & Bromley,BLACKFEN & LAMORBEY,29,84,28,168,26,1216,146,533,19,7,678,42,0,0,22,3,10
Bexley & Bromley,BLENDON & PENHILL,24,68,35,131,27,1490,95,496,15,10,587,37,0,0,25,0,10
Bexley & Bromley,BRAMPTON,34,78,43,167,27,1461,143,671,19,6,584,39,0,0,30,2,7
Bexley & Bromley,CHRISTCHURCH,37,60,33,143,20,1175,156,629,22,4,484,63,0,0,19,1,8
Bexley & Bromley,COLYERS,35,71,22,79,27,792,89,558,12,5,453,31,0,0,23,0,10
Bexley & Bromley,CRAY MEADOWS,26,79,28,122,31,1122,139,594,20,5,439,51,0,0,24,1,12
Bexley & Bromley,CRAYFORD,25,82,40,104,28,883,122,645,21,11,493,61,0,0,10,2,23
Bexley & Bromley,DANSON PARK,36,83,32,122,22,1187,135,578,29,9,475,55,0,1,30,1,11
Bexley & Bromley,EAST WICKHAM,28,76,49,155,28,966,105,622,18,12,556,51,0,0,23,1,8
Bexley & Bromley,ERITH,31,79,32,81,28,585,94,868,16,4,376,48,0,0,13,0,14
Bexley & Bromley,FALCONWOOD & WELLING,32,100,58,157,33,1149,117,612,21,7,619,51,0,0,29,2,13
Bexley & Bromley,LESNES ABBEY,22,84,32,102,32,802,104,820,27,9,432,39,0,0,26,0,11
Bexley & Bromley,LONGLANDS,39,65,21,190,44,1378,164,606,20,11,457,73,0,0,16,0,3
Bexley & Bromley,NORTH END AD,18,87,39,69,46,464,77,776,21,0,345,23,0,0,11,2,8
Bexley & Bromley,NORTHUMBERLAND HEATH,38,87,43,119,29,1005,107,686,17,5,472,46,0,0,19,2,11
Bexley & Bromley,SIDCUP,27,48,15,179,33,1563,245,600,26,6,486,84,0,0,24,1,6
Bexley & Bromley,ST MARY'S,38,58,23,166,18,1665,185,512,11,6,480,72,0,0,36,2,5
Bexley & Bromley,ST MICHAEL'S,32,91,46,124,31,1099,99,657,18,5,546,49,0,0,14,1,14
Bexley & Bromley,THAMESMEAD EAST,16,67,23,51,63,316,74,1000,13,5,281,38,0,0,8,0,7
Bexley & Bromley,Bickley,29,44,12,335,33,2405,306,722,40,5,413,129,0,0,41,2,13
Bexley & Bromley,Biggin Hill,44,60,23,150,22,1457,126,290,10,9,635,52,0,0,17,2,4
Bexley & Bromley,Bromley Common & Keston,50,84,23,245,42,1880,251,802,30,16,578,111,0,0,26,0,11
Bexley & Bromley,Bromley Town,51,46,23,405,60,1613,445,1326,50,22,452,199,0,0,37,0,13
Bexley & Bromley,Chelsfield & Pratts Bottom,68,68,24,308,44,2316,312,694,22,12,732,117,0,0,21,0,13
Bexley & Bromley,Chislehurst,57,41,12,263,28,2319,282,699,28,13,455,127,0,0,47,0,12
Bexley & Bromley,Clock House,51,77,26,414,40,1309,558,1824,39,18,344,226,0,0,31,1,11
Bexley & Bromley,Copers Cope,51,45,20,394,44,1965,402,1167,42,23,352,175,0,0,35,1,7
Bexley & Bromley,Cray Valley East,46,88,38,197,44,1023,171,725,27,4,572,72,0,0,18,1,10
Bexley & Bromley,Cray Valley West,36,93,51,144,57,1025,168,707,37,6,685,68,0,0,9,0,13
